No	カテゴリ	質問	回答	条件/例外	次の行動	エスカレーション	参照元	言い換えキーワード
1	過去事例	製造業へのTechFlow導入成功事例はありますか？	あります。案件W-001（製造業・工業機械メーカー、従業員350名・営業25名）でTechFlow CRM Pro Growth + Analytics Basicを受注。勝因は①代理店管理機能の優位性②「最短2週間」の導入スピード③ROI定量化（月次資料2日→2時間）④同業事例の提示です。	GENIEEに代理店管理機能がなかったこと、SalesforceはコストとスピードでTechFlowが優位に立てた案件。AI機能については正直に「β版」と伝えたことが逆に信頼につながった。	製造業への提案時は代理店管理機能のデモと同業事例を必ず用意する。	月次報告自動化の詳細はSEに確認が必要な場合あり。	過去事例 W-001	製造業 工業機械 代理店管理 Analytics 月次報告 受注事例 成功事例 勝因
2	過去事例	IT/SaaS企業へのTechFlow導入成功事例はありますか？	あります。案件W-002（HR Tech SaaS、従業員80名・営業12名・CS5名）でCRM Pro Starter + CS Proを受注。勝因は①CRM+CSのセット提案でライフサイクル全体管理②チャーン予測のリアルデモ（90日前アラート体感）③HubSpot Professionalより約30%安い価格④初回訪問から3週間での契約です。	デモで技術的な質問が出た際にSEを同席させて解決した。CTOからのAPI質問にはSEが翌日回答して信頼を獲得。	SaaS企業へのCS提案時はチャーン予測デモを必ず準備し、可能であれば顧客の実データを使用。	技術系CTOからのAPI詳細質問はSEに翌日回答を依頼。	過去事例 W-002	IT SaaS HR Tech スタートアップ CRM CS チャーン予測 受注事例 HubSpot比較
3	過去事例	不動産会社へのTechFlow導入成功事例はありますか？	あります。案件W-003（不動産・投資用マンション販売、従業員120名・営業40名）でCRM Pro Growth + MA Standardを受注。勝因は①CRM+MAの連携デモ（メール開封→スコア上昇→即時通知フロー）②特定電子メール法のオプトイン管理が標準搭載③Salesforce+Pardotより40%安い価格です。	コンプライアンス担当者を早めに巻き込んだことが決定を早めた（重要な学び）。SATORIはMA単体で商談管理が弱かった。	不動産提案ではCRM+MAの連携フローデモとコンプライアンス担当者への訴求を組み合わせる。	コンプライアンス関連の確認は法務部門への相談も検討。	過去事例 W-003	不動産 投資用マンション リードスコアリング MA CRM 特定電子メール法 受注事例 SATORI Pardot
4	過去事例	商社・卸売業へのTechFlow導入成功事例はありますか？	あります。案件W-004（食品・飲料商社、従業員550名・営業60名）でCRM Pro Enterprise + Connect Businessを受注。勝因は①TechFlow ConnectのSAP専用コネクタ②Salesforce+Mulesoftの年5,000万円 vs TechFlow年1,200万円という大きなコスト差③段階導入の提案（まずCRM→6ヶ月後Connect追加）です。	商社はSAP連携が必須要件になることが多い。大型案件（Salesforce+Mulesoftと競合）はコスト差が決め手になった。	商社・卸売への提案では基幹システム連携（SAP）の要件を早期確認し、TechFlow Connectをセットで提案する。	大型商社案件（月額300万円以上）はVP of Salesのアサインが必要。	過去事例 W-004	商社 卸売 食品飲料 SAP連携 TechFlow Connect iPaaS 受注事例 Mulesoft
5	過去事例	人材紹介会社へのTechFlow導入成功事例はありますか？	あります。案件W-005（エグゼクティブサーチ、従業員45名・コンサルタント20名）でCRM Pro Starter × 20を受注。勝因は①カスタムオブジェクト（候補者・求人・企業の3方向紐付け）ノーコードデモ②モバイルアプリで移動中のログが残せる③Startterプランで月額96,000円という手頃な価格です。	kintoneとの比較案件。「ノーコードで同等のことができる」を示すのが有効（kintone比較の学び）。小規模（20名以下）はStarterプランが手頃。	人材業界へのデモはカスタムオブジェクト設定とモバイルアプリの操作感を必ず見せる。	kintoneとの詳細機能比較が必要な場合はSEに確認依頼。	過去事例 W-005	人材紹介 エグゼクティブサーチ カスタムオブジェクト 候補者管理 kintone モバイルアプリ 受注事例
6	過去事例	グローバル展開が必要な大企業では失注しましたか？	はい。案件L-001（電機メーカー・従業員5,000名・営業200名）でSalesforce Enterpriseに失注しました。失注原因は①多通貨・多言語のネイティブ対応でSalesforceが圧倒的に優位②CIOとSalesforceカントリーマネージャーの関係③IT部門がSalesforceのApex開発スキルを保有④200名規模のエンタープライズはTechFlowのスイートスポット外です。	グローバル展開が確実な大企業は最初からSalesforce推薦の方が良い（重要な学び）。エグゼクティブリレーションシップがない大型案件は早期に見極めること。	グローバル展開要件・既存Salesforce環境を初回ヒアリングで必ず確認する。	グローバル展開が確実な大企業案件はSalesforce推薦の判断を上長に相談。	過去事例 L-001	グローバル 大企業 エンタープライズ Salesforce 失注事例 多言語 多通貨 5000名 電機メーカー
7	過去事例	コンテンツマーケティング主体のIT企業では失注しましたか？	はい。案件L-002（システムインテグレーター・従業員200名・営業30名）でHubSpot Professionalに失注しました。失注原因は①HubSpotのMarketing Hubにブログ・SEO・SNS管理機能が含まれている点②HubSpot Starterからの低コストPoC③担当者がHubSpot資格保有者でハナからHubSpot志向でした。	コンテンツマーケティング主導の会社はHubSpotに分がある。担当者の好みが強い影響を持つため意思決定者レベルで関係を作ることが重要。	提案前にインバウンド/コンテンツマーケティングの比重を確認し、HubSpotが適している顧客は早めに見極める。	担当者がHubSpotファンの場合は意思決定者へのアプローチを早期に行う。	過去事例 L-002	IT SIer コンテンツマーケティング HubSpot 失注事例 SEO ブログ インバウンド
8	過去事例	予算が少ない小規模企業ではどのような失注がありましたか？	案件L-003（アパレル小売・従業員80名・営業8名）でGENIEE SFA/CRMに失注しました。失注原因は①GENIEEの方が月額1万円以上安かった（GENIEE 27,840円 vs TechFlow 38,400円）②「機能が多すぎて何から使えばいいかわからない」③PoC目的の企業に本格的なTechFlowは過剰でした。	月5万円以下・小規模・PoC目的の顧客はGENIEEに価格で負けることが多い。提案時に使う機能を絞って見せることが重要（または最初からGENIEE推薦も検討）。	小規模・PoC目的の顧客への提案では使う機能を絞って見せる工夫をする。	予算月5万円以下・小規模案件は最初からGENIEEを推薦してTechFlowに合った顧客に集中する判断も有効。	過去事例 L-003	小売 アパレル 小規模 予算 GENIEE 失注事例 PoC コスト
9	過去事例	業界特化機能が必要な保険会社では失注しましたか？	はい。案件L-004（保険代理店・従業員150名・代理店ネットワーク500店）で既存システムの継続利用（乗り換えなし）となりました。失注原因は①保険業界特有の規制対応機能（適合性原則管理・顧客説明記録）が標準では対応できなかった②既存ベンダーが格安更新価格を提示③「使い慣れたシステムの方が安全」というリスク回避判断です。	金融・保険業界は業界特化規制対応が必須。TechFlow Connectで既存システムとの連携提案が有効だった可能性がある（反省点）。	金融・保険業界への提案では業界特化規制要件を初期ヒアリングで必ず確認する。	規制対応の詳細確認は法務部門にエスカレーション。	過去事例 L-004	保険 金融 規制 コンプライアンス 適合性原則 失注事例 乗り換え リスク回避
10	過去事例	用途のミスマッチで失注した事例はありますか？	はい。案件L-005（薬局チェーン・従業員600名・エリアマネージャー20名・全国100店舗）でkintoneに失注しました。失注原因は①顧客が求めていたのは「店舗管理（在庫・シフト）」であり、SFAは過剰②kintoneは在庫・シフト管理のカスタムアプリ開発に向いていた③kintoneの方が安くニーズに合致でした。	「CRMが欲しい」という言葉の裏にある本当のニーズを確認することが重要（店舗管理≠SFA）。kintoneとの比較は「営業活動管理」の要件があるかを最初に確認する。	「CRMが欲しい」という要望の背景にある実際の課題を初期ヒアリングで確認する。	用途のミスマッチが疑われる場合は無理に提案せず、他製品を推薦することも誠実な対応。	過去事例 L-005	薬局 医療 店舗管理 kintone 失注事例 用途ミスマッチ チェーン エリアマネージャー
11	過去事例	受注につながる共通パターンは何ですか？	①同業他社の事例を見せる（「うちと同じ業種の成功例」が最も説得力がある）②ROIを数値で示す（「何時間削減・いくら節約」が意思決定を加速）③デモで顧客の実データを使う（架空データより訴求力が跳ね上がる）④CRM+隣接製品のセット提案（単製品より成約率が高い）⑤競合の弱みを攻める、の5パターンです。	特に「同業他社事例」と「ROI数値」は全受注事例で共通して有効だった要素。	提案書には同業事例とROI試算を必ず含める。デモは顧客の実データ使用を提案する。	同業他社事例がない場合は営業チームに事例収集を依頼。	過去事例 勝因サマリー	受注 共通パターン 勝因 成功 同業事例 ROI デモ セット提案 実データ
12	過去事例	失注につながる共通パターンは何ですか？	①グローバル展開が必須の大企業②コンテンツマーケティング主体の会社（HubSpotが適合）③予算が月5万円以下の小規模（GENIEEに価格で負ける）④業界特化機能が必須（金融・医療等）⑤担当者がすでに別製品のファン（意思決定者への早期アプローチが必要）の5パターンです。	これらのパターンに当てはまる顧客は早期に見極め、無理に追わず適切な製品を推薦することが長期的な信頼につながる。	初期ヒアリングでこれらのパターンに当てはまるかを確認し、早期に案件の方針を判断する。	失注パターンに当てはまる大型案件は上長に相談して方針を決める。	過去事例 敗因サマリー	失注 共通パターン 敗因 グローバル HubSpot GENIEE 業界特化 担当者ファン 早期見極め
13	過去事例	デモで顧客の実データを使うとどんな効果がありますか？	架空データより訴求力が跳ね上がります。案件W-002（SaaS企業）では実データを使ったチャーン予測デモで「90日前にアラートが出る」を体感させたことが受注の決め手となりました。	顧客の実データを使うには事前に許可を得る必要がある。データが少ない場合は顧客に近い業種・規模のサンプルデータを使用。	商談前に「デモで御社のデータを使ってよいか」を確認し、使用の許可を得る。	顧客が実データ使用を拒否する場合は類似企業のサンプルデータで代替する。	過去事例 W-002 / 勝因サマリー	デモ 実データ 訴求 チャーン予測 体感 受注 効果的
14	過去事例	正直に弱みを開示すると信頼が下がりますか？	実際には逆で、正直な開示が信頼につながることがあります。案件W-001（製造業）ではAI機能が「β版」と正直に答えたことで逆に信頼された実績があります。無理にごまかすより誠実な対応が長期的な関係構築につながります。	弱みを開示する際は、リフレーム（「だからこそ〇〇が強み」）を必ず添えること。弱みのみ伝えて終わるのはNG。	弱みを聞かれたら正直に認め、すぐにリフレーム（強みへの転換）を行う。	自社に合わない顧客に正直に他製品を推薦することも、業界での評判につながる。	過去事例 W-001 / 営業プレイブック 第2章 2.2 反論4	弱み開示 正直 信頼 リフレーム 誠実 AI β版 信頼関係
15	過去事例	SaaS企業にはどの製品の組み合わせが最も効果的ですか？	CRM Pro + CS（カスタマーサクセス）のセット提案が最も効果的です。案件W-002の実績で「CRM+CSでライフサイクル全体を管理する」という訴求がSaaS企業のチャーン問題に刺さりました。価格もHubSpot Professional+別途CSツールより約30%安くなります。	SaaS企業はチャーン率改善・顧客成功の可視化がほぼ共通課題。CRM Proのみの提案では物足りない場合がある。	SaaS企業への提案ではCRM+CSのセット提案を基本形とする。チャーン予測デモを必ず組み込む。	CS機能の詳細デモでSEの同席が必要になる場合あり（案件W-002の学び）。	過去事例 W-002	SaaS IT企業 CRM CS セット提案 チャーン 受注パターン カスタマーサクセス
16	過去事例	競合のSalesforceと競合した案件でTechFlowが勝った理由は何ですか？	Salesforce競合案件でTechFlowが勝てる共通要因は①コスト差（Salesforceの総費用に対して50%〜75%安い案件あり）②導入スピード（2週間 vs 3〜6ヶ月）③国内特化（日本語UI・日本の商習慣）④導入後のサポート（全プランCS無償付属 vs 有償）です。案件W-001とW-004で実証されています。	グローバル展開・大規模カスタマイズ・AI最前線が必要な場合はSalesforceに負けることが多い（案件L-001）。	Salesforce競合案件ではコスト・スピード・サポートの3軸で差別化する。TCO試算表を必ず準備する。	エグゼクティブレベルの競争になっている場合はVP of Salesをアサイン。	過去事例 W-001 W-004 / 敗因 L-001	Salesforce 競合 勝因 コスト スピード サポート 受注 セールスフォース
17	過去事例	コンプライアンス担当者を早めに巻き込むとどんな効果がありますか？	意思決定が早まります。案件W-003（不動産会社）でコンプライアンス担当者を早めに巻き込んだことが契約決定を早めた実績があります。特定電子メール法対応が標準搭載のTechFlow MAを評価したことが決め手となりました。	コンプライアンス担当者が関与する案件では「規制対応の証拠」を早期に準備して提示することが重要。	提案の早い段階でコンプライアンス担当者を特定し、規制対応資料を準備する。	法規制対応の詳細確認が必要な場合は法務部門にエスカレーション。	過去事例 W-003	コンプライアンス 法規制 特定電子メール法 意思決定 巻き込み 不動産 受注パターン
18	過去事例	段階導入（フェーズ分け）の提案が有効なケースはどれですか？	導入コストと変更リスクを分散できるため、大型案件や複数製品の導入時に有効です。案件W-004（商社）では「まずCRM Proから始め、6ヶ月後にConnectを追加するステップ提案」が意思決定を後押しした実績があります。	一度に全製品を導入するより段階的な方が顧客の意思決定ハードルが下がる。最初の段階で成果を出すことが次フェーズの導入確率を上げる。	大型案件・複数製品提案では段階導入のロードマップを提案書に含める。	段階導入の詳細なプロジェクト計画が必要な場合はSEと協力して作成。	過去事例 W-004	段階導入 フェーズ ロードマップ 商社 受注パターン CRM Connect 分割導入
19	過去事例	初回訪問から契約まで最短何週間で決まった事例はありますか？	案件W-002（HR Tech SaaS）で初回訪問から契約まで3週間、使い始めまで4週間という最短事例があります。SaaS企業は意思決定が早い傾向があり、スピード感のある提案と早期のデモが決め手となりました。	スピードが出た要因は①課題が明確で緊急性が高かった②デモで体感させた③価格が明確でHubSpotより安かった④SEを早期にアサインして技術質問を解決した、の4点。	意思決定が速い顧客には提案〜デモ〜見積もりを短期間で完結させるスケジュールを提示する。	スピード提案でも見積もりルール・承認プロセスは省略しない。	過去事例 W-002	スピード 最短 3週間 SaaS IT 受注 クロージング 意思決定
20	過去事例	「使いやすさ」をデモで示す効果的な方法は何ですか？	実際の操作デモで顧客に体感させることが最も効果的です。案件W-005（人材紹介会社）では「候補者・求人・企業の3方向紐付けをノーコードで設定できる」デモと、モバイルアプリの操作感を見せたことが現場コンサルタントの支持を獲得しました。	デモは事前に顧客の業種・用途に合わせたシナリオを準備すること。kintoneと比較される場合は「ノーコードで同等のことができる」ことを示すのが有効。	デモ前に顧客の主なユースケース（何に使いたいか）を確認してシナリオを組み立てる。	デモの技術的な詳細設定に自信がない場合はSEと事前にリハーサルをする。	過去事例 W-005	デモ 使いやすさ ノーコード kintone 人材業界 モバイル 操作感 体感
21	過去事例	医療・薬局業界ではどんな課題がありましたか？	案件L-005（薬局チェーン）では「店舗管理（在庫・シフト）」の需要があり、SFAの機能とミスマッチでした。医療・薬局業界では店舗運営管理がニーズの中心で、TechFlowよりkintoneのカスタムアプリが適合するケースがあります。	「CRMが欲しい」という要望の裏にある本当のニーズが「店舗管理」だった事例。医療・薬局への提案では本当の課題を最初に確認することが重要。	初期ヒアリングで「CRMで何を管理したいか」を詳細に確認する。	用途ミスマッチが明確な場合は誠実に他製品を推薦することを検討。	過去事例 L-005	医療 薬局 店舗管理 kintone 用途 ミスマッチ チェーン 業界特化
22	過去事例	保険・金融業界への提案での注意点は何ですか？	業界特化の規制対応機能（適合性原則管理・顧客説明記録等）が標準では対応できないケースがあります（案件L-004の失注）。また既存ベンダーの防衛（格安更新価格）とリスク回避（乗り換えコスト）が障壁になります。TechFlow Connectで既存システムとの連携提案が有効な場合もあります。	金融庁等の規制対応は法務部門への確認が必須。既存ベンダーとの競争では「乗り換えコスト < 継続コスト」を明確に示す必要がある。	初期ヒアリングで業界特化規制要件を確認し、対応可否を法務部門に確認する。	保険・金融業界案件は初期から法務部門に相談。規制対応が必須の場合はSEと連携して対応策を検討。	過去事例 L-004	保険 金融 規制 コンプライアンス 金融庁 乗り換え 既存システム 失注
23	過去事例	既存Salesforce環境がある大企業への提案方法は何ですか？	既存Salesforceが全社導入されている場合はTechFlowへの乗り換えは困難です（案件L-001の学び）。ただし「日本法人の営業管理にTechFlowを使いつつ、グローバルはSalesforceという分離運用」の提案が有効なケースがあります。	グループ会社・親会社がSalesforceを使っていて統一要件がある場合はSalesforceを推薦した方が良い。	既存Salesforce環境の範囲（一部vs全社）を確認し、TechFlowの入り込み余地を探る。	エグゼクティブレベルのSalesforceとの関係がある大型案件はVP of Sales相談。	過去事例 L-001 / 競合情報 Salesforce	Salesforce 既存 大企業 グローバル 分離運用 共存 乗り換え セールスフォース
24	過去事例	同業他社事例を見せることがなぜ重要ですか？	受注につながる最も重要な要素の一つです。「うちと同じ業種の成功例」が最も説得力があります（勝因サマリー）。案件W-001（製造業）でも同業の自動車部品メーカーの事例を提示できたことが大きな決め手となりました。	事例は業種・規模・課題が顧客に近いほど説得力が高まる。顧客が事例企業名を知っている場合はさらに効果的。	訪問前に同業他社の事例を必ず確認・用意する。事例がない場合は類似業種の事例で代替する。	同業事例が全くない業種への提案は上長に相談の上方針を決める。	過去事例 W-001 / 勝因サマリー	同業事例 業種 成功事例 実績 説得力 導入事例 製造業
25	過去事例	ROI提示が受注を加速した具体的な事例はありますか？	案件W-001（製造業）でTechFlow Analyticsを使って「月次資料作成2日→2時間」の削減効果を定量化して示したことが受注の決め手の一つとなりました。案件W-003（不動産）ではSalesforce+Pardotとの価格比較で40%安いことを示したことが決め手となりました。	ROI試算は顧客の実情（人員数・作業時間・コスト）を使ってカスタマイズするほど効果が高い。「年間〇〇時間削減=〇〇万円節約」という具体的な数字が意思決定を加速する。	提案書に必ずROI試算を含める。顧客の実情に合わせてカスタマイズする。	大型案件のROI試算が複雑な場合はSEまたは営業マネージャーと協力して作成。	過去事例 W-001 W-003 / 勝因サマリー	ROI 費用対効果 定量化 数値 削減効果 コスト 時間削減 意思決定 受注
